domain,Gender and social inclusion,,
E_M_E.47,question,At what age do women typically have their first child?,NRM_DEC;NRM_DIV;NRM_EQ
E_M_E.48,question,Do you think this is a good age for the new mother and baby? Why or why not?,GAP;NRM_DEC;NRM_EQ
E_M_E.49,question,What age do you think would be best for a woman to have her first child?  Why? ,NRM_EQ;NRM_STIG
E_M_E.5,question,What level of education do you think boys and girls of this village should have? Why? ,ASP;GAP;NRM_EQ;NRM_MOB
E_M_E.50,question,"Do women in this village decide when to have children and how many children to have?  If not, how is this decision made?",NRM_DEC;NRM_STIG
E_M_E.51,question,"And for my final question, what changes would you like to see in the village for the young men and women who live here?",ASP;GAP;NRM_DEC;NRM_EQ;NRM_INF;NRM_MOB
E_M_E.6,question,Do parents show the same commitment to educating their daughters as their sons? Why or why not?,ASP;GAP;NRM_AST;NRM_DEC;NRM_DIV;NRM_EQ;NRM_INF;NRM_MOB
E_M_E.7,question,What different agricultural activities do boys learn about when they are young in this village? ,NRM_DIV;NRM_INF;NRM_MEN
E_M_E.8,question,What are the main reasons why boys in this village end their education?,GAP
E_M_E.9,question,Which are the two most important reasons on this list why boys end their education. ,GAP;NRM_DIV;NRM_INF;NRM_MOB
